Front	Back	Group	Chapter	Tags
claim / assertion	bewering, de	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
to claim / to assert	beweren	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
view / opinion / interpretation	opvatting, de	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
to address / to appeal to	aanspreken	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
to suggest	suggereren	Communication and ideas	Hoofdstuk 1	communication_and_ideas hoofdstuk_1
tenor / general tone	teneur, de	Communication and ideas	Hoofdstuk 5	communication_and_ideas hoofdstuk_5
to claim / to demand	opeisen	Communication and ideas	Hoofdstuk 4	communication_and_ideas hoofdstuk_4
to insult / to offend	beledigen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to touch	aanraken	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to devour	verslinden	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
invention	uitvinding, de	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to exhale / to breathe out	uitademen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to do odd jobs / DIY	klussen	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to add to	toevoegen aan	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to continue / to carry on	voortzetten	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to sketch / to outline	schetsen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to cover / to occupy / to steam up	beslaan	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to deduce from / to infer from	afleiden uit	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to come about / to be realised	tot stand komen	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to remove / to delete	verwijderen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
control / mastery	beheersing, de	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to nod	knikken	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to deviate	afwijken	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to be intended for / to be destined for	bestemd zijn voor	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to wander / to roam	zwerven	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to withdraw from / to escape from	onttrekken aan	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to inhale / to breathe in	inademen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to invent	uitvinden	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to give in to / to yield to	toegeven aan	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to take over	overnemen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to underestimate	onderschatten	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
considerable time / quite some time	geruime tijd	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to disrupt / to disturb	verstoren	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to exaggerate	overdrijven	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to handle / to deal with	omspringen met	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to stare	staren	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to grumble / to moan	mopperen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to demonstrate / to prove / to show	aantonen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to honk / to beep	toeteren	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to treat / to handle	behandelen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to fall short / to be lacking	tekortkomen	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to promote / to advance	bevorderen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to catch / to absorb / to shelter	opvangen	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to guess	gissen	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to divide / to distribute	verdelen	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to expose to	blootstellen aan	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to keep / to preserve	bewaren	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to meet / to comply with / to satisfy	voldoen aan	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to stuff / to cram	proppen	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to fascinate / to captivate	boeien	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to consider / to weigh	overwegen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to stay upright / to remain standing	overeind blijven	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to correspond to / to agree with	overeenstemmen met	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to bulge / to overflow	uitpuilen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to round off / to complete / to finish	afronden	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
consideration	overweging, de	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to tend / to incline	neigen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to roar / to bellow	bulderen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to throw at	gooien naar	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to respond to / to anticipate	inspelen op	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to pile up / to stack	stapelen	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to devote to / to dedicate to	wijden aan	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to perform / to carry out	verrichten	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to weaken	verzwakken	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to savor / to keep enjoying afterwards	nagenieten van	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to reduce / to decrease	verminderen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
to make / to create	aanmaken	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to fail	mislukken	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to force / to enforce	afdwingen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to ruin / to spoil	verpesten	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to decorate / to seduce	versieren	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to shelter / to hide / to lurk	schuilen	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
to fulminate / to rant	fulmineren	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to pick / to steal / to peck	pikken	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to conquer / to capture	veroveren	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to suppress / to oppress	onderdrukken	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to gauge / to measure / to sound out	peilen	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to guard against / to watch out for	waken voor	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
to appoint / to make a fuss	aanstellen	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to assume / to proceed from	uitgaan van	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
to penetrate / to get through to	doordringen tot	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
to furnish / to set up / to organise	inrichten	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
to observe / to perceive	waarnemen	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
demand / requirement	eis, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to support	ondersteunen	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
approach	aanpak, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
interior / furnishing / setup	inrichting, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to guide / to accompany	begeleiden	Society, work, and structure	Hoofdstuk 1	society_work_and_structure hoofdstuk_1
priority / right of way	voorrang, de	Society, work, and structure	Hoofdstuk 2	society_work_and_structure hoofdstuk_2
management / leadership	leiding, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
achievement / performance	prestatie, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to maintain / to support	onderhouden	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to demand / to require	eisen	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
resistance	verzet, het	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
circle / group	kring, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to tackle / to approach	aanpakken	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
performance / act / deed	verrichting, de	Society, work, and structure	Hoofdstuk 6	society_work_and_structure hoofdstuk_6
manager / superior	leidinggevende, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
effort / commitment / stake	inzet, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
toddler / preschooler	kleuter, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
purchase / acquisition	aanschaf, de	Society, work, and structure	Hoofdstuk 5	society_work_and_structure hoofdstuk_5
appointment	aanstelling, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
majority	meerderheid, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
countryside / rural area	platteland, het	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
to purchase / to acquire	aanschaffen	Society, work, and structure	Hoofdstuk 5	society_work_and_structure hoofdstuk_5
maintenance / conversation	onderhoud, het	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
guide	gids, de	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
mixed	gemengd	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
access / entrance	toegang, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
dangerous	gevaarlijk	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
freebooter / maverick	vrijbuiter, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
good / well-behaved / obedient	braaf	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
excessive / immoderate	overmatig	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
straitjacket / corset	keurslijf	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
at the time / back then	destijds	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
sin / shame / a pity	zonde, de	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
shame / disgrace	schande, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
touch / contact	aanraking, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
wrinkle	rimpel, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
cute / adorable	schattig	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
angle / perspective	invalshoek, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
favour / benefit	gunst, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
neat / tidy / proper	keurig	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
continuation	voortzetting, de	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
transparent / see-through	doorzichtig	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
moving / touching	ontroerend	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
for that / before that	daarvoor	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
treatment	behandeling, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
actually / effectively / real	daadwerkelijk	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
distinction / difference	onderscheid, het	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
pathetic / pitiful	zielig	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
traditionally / from of old	vanouds	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
as / in proportion to	naarmate	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
conquest / capture	verovering, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
grossly / terribly	schromelijk	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
current / present	huidig	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
suppression / oppression	onderdrukking, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
scary / narrow / weird	eng	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
largely / mostly / for the most part	grotendeels	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
definitely / decisively	beslist	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
leading / trend-setting	toonaangevend	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
unimaginable / inconceivable	onvoorstelbaar	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
exhalation	uitademing, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
beauty	schoonheid, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
so-called / allegedly	zogenaamd	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
tendency / inclination	neiging, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
banned / banished	uitgebannen	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
division / distribution	verdeling, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
sketch / outline	schets, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
poll / sounding / gauging	peiling, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
origin / descent	afkomst, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
scandalous / disgraceful	schandelijk	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
zigzag / haphazardly / every which way	kriskras	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
small job / chore	klusje, het	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
decay / deterioration	verloedering, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
observation / perception	waarneming, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
controversial / disputed	omstreden	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
wise / sensible	verstandig	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
decent / proper	fatsoenlijk	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
permitted / allowed	geoorloofd	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
fluent / flowing	vloeiend	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
cool / great / awesome	gaaf	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
originating from / from	afkomstig	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
overloaded / overburdened	overbelast	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
mess / bunch / crowd	troep, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
lightly / rashly / carelessly	lichtvaardig	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
snapshot / photo	kiekje	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
decoration	versiering, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
above all / most of all	bovenal	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
credible / believable	geloofwaardig	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
which / what	hetgeen	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
underestimation	onderschatting, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
agreement / correspondence	overeenstemming, de	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
haste / hurry	haast, de	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
point of attention	aandachtspunt, het	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
addition	toevoeging, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
inhalation	inademing, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
removal / deletion / distance	verwijdering, de	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
narrow / close / tight	nauw	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
barely / hardly	amper	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
spicy / tough / challenging	pittig	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
scar	litteken, het	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
subordinate / secondary	ondergeschikt	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
share / part	aandeel, het	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
event / occurrence	gebeurtenis, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
fascinating / captivating	boeiend	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
reception / shelter / care	opvang, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
necessarily / per se	per se	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
excessive	excessief	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
outdated / obsolete	achterhaald	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
slick / polished	gelikt	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
elsewhere	elders	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
faithful / loyal	trouw	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
exuberant / effusive	uitbundig	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
relationship / proportion / ratio	verhouding, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
premature / early	voortijdig	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
also / partly / co-	mede	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
equivalent / equal	gelijkwaardig	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
needle	naald, de	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
reality	werkelijkheid, de	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
breath	adem, de	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
hasty / hurried	haastig	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
intended / aimed at	beoogd	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
unwise / imprudent	onverstandig	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
unravelled / unraveled	ontrafeld	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
almost / about	zowat	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
