Front	Back	Group	Chapter	Tags
beledigen	to insult / to offend	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
aanraken	to touch	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
verslinden	to devour	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
uitvinding, de	invention	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
uitademen	to exhale / to breathe out	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
klussen	to do odd jobs / DIY	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
toevoegen aan	to add to	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
voortzetten	to continue / to carry on	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
schetsen	to sketch / to outline	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
beslaan	to cover / to occupy / to steam up	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
afleiden uit	to deduce from / to infer from	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
tot stand komen	to come about / to be realised	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
verwijderen	to remove / to delete	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
beheersing, de	control / mastery	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
knikken	to nod	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
afwijken	to deviate	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
bestemd zijn voor	to be intended for / to be destined for	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
zwerven	to wander / to roam	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
onttrekken aan	to withdraw from / to escape from	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
inademen	to inhale / to breathe in	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
uitvinden	to invent	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
toegeven aan	to give in to / to yield to	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
overnemen	to take over	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
onderschatten	to underestimate	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
geruime tijd	considerable time / quite some time	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
verstoren	to disrupt / to disturb	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
overdrijven	to exaggerate	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
omspringen met	to handle / to deal with	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
staren	to stare	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
mopperen	to grumble / to moan	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
aantonen	to demonstrate / to prove / to show	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
toeteren	to honk / to beep	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
behandelen	to treat / to handle	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
tekortkomen	to fall short / to be lacking	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
bevorderen	to promote / to advance	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
opvangen	to catch / to absorb / to shelter	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
gissen	to guess	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
verdelen	to divide / to distribute	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
blootstellen aan	to expose to	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
bewaren	to keep / to preserve	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
voldoen aan	to meet / to comply with / to satisfy	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
proppen	to stuff / to cram	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
boeien	to fascinate / to captivate	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
overwegen	to consider / to weigh	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
overeind blijven	to stay upright / to remain standing	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
overeenstemmen met	to correspond to / to agree with	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
uitpuilen	to bulge / to overflow	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
afronden	to round off / to complete / to finish	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
overweging, de	consideration	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
neigen	to tend / to incline	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
bulderen	to roar / to bellow	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
gooien naar	to throw at	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
inspelen op	to respond to / to anticipate	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
stapelen	to pile up / to stack	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
wijden aan	to devote to / to dedicate to	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
verrichten	to perform / to carry out	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
verzwakken	to weaken	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
nagenieten van	to savor / to keep enjoying afterwards	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
verminderen	to reduce / to decrease	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
aanmaken	to make / to create	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
mislukken	to fail	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
afdwingen	to force / to enforce	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
verpesten	to ruin / to spoil	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
versieren	to decorate / to seduce	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
schuilen	to shelter / to hide / to lurk	Actions and change	Hoofdstuk 6	actions_and_change hoofdstuk_6
fulmineren	to fulminate / to rant	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
pikken	to pick / to steal / to peck	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
veroveren	to conquer / to capture	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
onderdrukken	to suppress / to oppress	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
peilen	to gauge / to measure / to sound out	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
waken voor	to guard against / to watch out for	Actions and change	Hoofdstuk 5	actions_and_change hoofdstuk_5
aanstellen	to appoint / to make a fuss	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
uitgaan van	to assume / to proceed from	Actions and change	Hoofdstuk 3	actions_and_change hoofdstuk_3
doordringen tot	to penetrate / to get through to	Actions and change	Hoofdstuk 2	actions_and_change hoofdstuk_2
inrichten	to furnish / to set up / to organise	Actions and change	Hoofdstuk 4	actions_and_change hoofdstuk_4
waarnemen	to observe / to perceive	Actions and change	Hoofdstuk 1	actions_and_change hoofdstuk_1
eis, de	demand / requirement	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
ondersteunen	to support	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
aanpak, de	approach	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
inrichting, de	interior / furnishing / setup	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
begeleiden	to guide / to accompany	Society, work, and structure	Hoofdstuk 1	society_work_and_structure hoofdstuk_1
voorrang, de	priority / right of way	Society, work, and structure	Hoofdstuk 2	society_work_and_structure hoofdstuk_2
leiding, de	management / leadership	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
prestatie, de	achievement / performance	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
onderhouden	to maintain / to support	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
eisen	to demand / to require	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
verzet, het	resistance	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
kring, de	circle / group	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
aanpakken	to tackle / to approach	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
verrichting, de	performance / act / deed	Society, work, and structure	Hoofdstuk 6	society_work_and_structure hoofdstuk_6
leidinggevende, de	manager / superior	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
inzet, de	effort / commitment / stake	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
kleuter, de	toddler / preschooler	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
aanschaf, de	purchase / acquisition	Society, work, and structure	Hoofdstuk 5	society_work_and_structure hoofdstuk_5
aanstelling, de	appointment	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
meerderheid, de	majority	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
platteland, het	countryside / rural area	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
aanschaffen	to purchase / to acquire	Society, work, and structure	Hoofdstuk 5	society_work_and_structure hoofdstuk_5
onderhoud, het	maintenance / conversation	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
gids, de	guide	Society, work, and structure	Hoofdstuk 4	society_work_and_structure hoofdstuk_4
gemengd	mixed	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
toegang, de	access / entrance	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
gevaarlijk	dangerous	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
vrijbuiter, de	freebooter / maverick	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
braaf	good / well-behaved / obedient	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
overmatig	excessive / immoderate	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
keurslijf	straitjacket / corset	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
destijds	at the time / back then	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
zonde, de	sin / shame / a pity	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
schande, de	shame / disgrace	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
aanraking, de	touch / contact	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
rimpel, de	wrinkle	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
schattig	cute / adorable	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
invalshoek, de	angle / perspective	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
gunst, de	favour / benefit	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
keurig	neat / tidy / proper	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
voortzetting, de	continuation	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
doorzichtig	transparent / see-through	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
ontroerend	moving / touching	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
daarvoor	for that / before that	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
behandeling, de	treatment	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
daadwerkelijk	actually / effectively / real	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
onderscheid, het	distinction / difference	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
zielig	pathetic / pitiful	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
vanouds	traditionally / from of old	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
naarmate	as / in proportion to	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
verovering, de	conquest / capture	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
schromelijk	grossly / terribly	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
huidig	current / present	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
onderdrukking, de	suppression / oppression	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
eng	scary / narrow / weird	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
grotendeels	largely / mostly / for the most part	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
beslist	definitely / decisively	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
toonaangevend	leading / trend-setting	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
onvoorstelbaar	unimaginable / inconceivable	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
uitademing, de	exhalation	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
schoonheid, de	beauty	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
zogenaamd	so-called / allegedly	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
neiging, de	tendency / inclination	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
uitgebannen	banned / banished	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
verdeling, de	division / distribution	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
schets, de	sketch / outline	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
peiling, de	poll / sounding / gauging	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
afkomst, de	origin / descent	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
schandelijk	scandalous / disgraceful	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
kriskras	zigzag / haphazardly / every which way	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
klusje, het	small job / chore	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
verloedering, de	decay / deterioration	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
waarneming, de	observation / perception	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
omstreden	controversial / disputed	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
verstandig	wise / sensible	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
fatsoenlijk	decent / proper	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
geoorloofd	permitted / allowed	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
vloeiend	fluent / flowing	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
gaaf	cool / great / awesome	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
afkomstig	originating from / from	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
overbelast	overloaded / overburdened	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
troep, de	mess / bunch / crowd	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
lichtvaardig	lightly / rashly / carelessly	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
kiekje	snapshot / photo	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
versiering, de	decoration	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
bovenal	above all / most of all	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
geloofwaardig	credible / believable	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
hetgeen	which / what	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
onderschatting, de	underestimation	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
overeenstemming, de	agreement / correspondence	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
haast, de	haste / hurry	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
aandachtspunt, het	point of attention	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
toevoeging, de	addition	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
inademing, de	inhalation	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
verwijdering, de	removal / deletion / distance	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
nauw	narrow / close / tight	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
amper	barely / hardly	Things, qualities, and descriptions	Hoofdstuk 6	things_qualities_and_descriptions hoofdstuk_6
pittig	spicy / tough / challenging	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
litteken, het	scar	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
ondergeschikt	subordinate / secondary	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
aandeel, het	share / part	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
gebeurtenis, de	event / occurrence	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
boeiend	fascinating / captivating	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
opvang, de	reception / shelter / care	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
per se	necessarily / per se	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
excessief	excessive	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
achterhaald	outdated / obsolete	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
gelikt	slick / polished	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
elders	elsewhere	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
trouw	faithful / loyal	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
uitbundig	exuberant / effusive	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
verhouding, de	relationship / proportion / ratio	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
voortijdig	premature / early	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
mede	also / partly / co-	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
gelijkwaardig	equivalent / equal	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
naald, de	needle	Things, qualities, and descriptions	Hoofdstuk 3	things_qualities_and_descriptions hoofdstuk_3
werkelijkheid, de	reality	Things, qualities, and descriptions	Hoofdstuk 4	things_qualities_and_descriptions hoofdstuk_4
adem, de	breath	Things, qualities, and descriptions	Hoofdstuk 1	things_qualities_and_descriptions hoofdstuk_1
haastig	hasty / hurried	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
beoogd	intended / aimed at	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
onverstandig	unwise / imprudent	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
ontrafeld	unravelled / unraveled	Things, qualities, and descriptions	Hoofdstuk 5	things_qualities_and_descriptions hoofdstuk_5
zowat	almost / about	Things, qualities, and descriptions	Hoofdstuk 2	things_qualities_and_descriptions hoofdstuk_2
